scrapedid,webid,companyid,job_title,career_level,year_experience_min,currency,salary_min,salary_max
9436,4,9173.0,Marketing Executive,Supervisor/Coordinator,1.0,IDR,4500000.0,6010000.0
9692,4,9429.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
10242,4,9979.0,Marketing Executive,Supervisor/Coordinator,2.0,IDR,4500000.0,6010000.0
10385,4,10122.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
30538,4,9409.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
43249,4,10824.0,Marketing Executive,Supervisor/Coordinator,3.0,IDR,4500000.0,6010000.0
43408,4,10122.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
55254,4,10495.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
55366,4,9173.0,Marketing Executive,Supervisor/Coordinator,1.0,IDR,4500000.0,6010000.0
88293,4,37346.0,Marketing Executive,Supervisor/Coordinator,1.0,IDR,4500000.0,6010000.0
89038,4,10122.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
91472,4,38691.0,Marketing Executive,Staff (non-management & non-supervisor),3.0,IDR,4500000.0,6010000.0
92004,4,10059.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
92346,4,39082.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
93747,4,39710.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
109015,5,24470.0,Marketing Executive,Associate / Supervisor,2.0,IDR,4500000.0,8000000.0
111425,4,9429.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
116369,4,49490.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,5000000.0,6500000.0
132673,4,55329.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
132835,4,11060.0,Marketing Executive,Supervisor/Coordinator,1.0,IDR,3000000.0,5000000.0
133278,4,10122.0,Marketing Executive,Staff (non-management & non-supervisor),3.0,IDR,4500000.0,6010000.0
133323,4,9173.0,Marketing Executive,Supervisor/Coordinator,1.0,IDR,4500000.0,6010000.0
139137,4,48411.0,Marketing Executive,Manager/Assistant Manager,3.0,IDR,4800000.0,6000000.0
140543,4,58340.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4000000.0,5000000.0
150746,4,22823.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
152503,4,62329.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4600000.0,6000000.0
156308,4,63552.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,5000000.0,6500000.0
157225,4,57741.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
186515,4,48384.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
198823,4,38266.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
211120,4,48835.0,Marketing Executive,Manager/Assistant Manager,5.0,IDR,4500000.0,6010000.0
222963,4,9409.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
225438,4,37358.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
225449,4,10122.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
239933,4,78774.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
239936,4,9753.0,Marketing Executive,Staff (non-management & non-supervisor),3.0,IDR,4500000.0,6010000.0
282917,4,89475.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,5000000.0,6000000.0
283898,4,9979.0,Marketing Executive,Supervisor/Coordinator,2.0,IDR,4500000.0,6010000.0
306212,4,66002.0,Marketing Executive,Supervisor/Coordinator,1.0,IDR,4500000.0,7000000.0
329532,4,9263.0,Marketing Executive,Supervisor/Coordinator,3.0,IDR,4500000.0,6010000.0
348813,4,38266.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
350110,4,101090.0,Marketing Executive,Manager/Assistant Manager,2.0,IDR,4500000.0,5000000.0
350515,4,101193.0,Marketing Executive,Staff (non-management & non-supervisor),3.0,IDR,4500000.0,5500000.0
363575,4,103510.0,Marketing Executive,Supervisor/Coordinator,3.0,IDR,7000000.0,12000000.0
367874,4,104230.0,Marketing Executive,Staff (non-management & non-supervisor),3.0,IDR,4000000.0,6000000.0
369170,4,104426.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
369446,4,104472.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6500000.0
369535,4,104490.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,3000000.0,4000000.0
401061,4,10122.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
401064,4,37408.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,2000000.0,2500000.0
409307,4,18602.0,Marketing Executive,Staff (non-management & non-supervisor),5.0,IDR,4500000.0,6010000.0
414283,4,110940.0,Marketing Executive,Manager/Assistant Manager,1.0,IDR,4500000.0,6010000.0
420808,4,78331.0,Marketing Executive,Supervisor/Coordinator,3.0,IDR,4500000.0,6010000.0
421097,4,11240.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
421209,4,112081.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
424321,4,9237.0,Marketing Executive,Supervisor/Coordinator,4.0,IDR,8000000.0,9000000.0
441133,4,38819.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
442356,4,38266.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
453963,4,104490.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,3000000.0,4000000.0
466034,4,23011.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4800000.0,7500000.0
466621,4,39710.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
475993,4,119795.0,Marketing Executive,Manager/Assistant Manager,2.0,IDR,5580000.0,7812000.0
486050,4,10122.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
521743,4,125969.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
521752,4,38819.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
525993,14,128319.0,Marketing Executive,Junior Executive,5.0,IDR,5000000.0,15000000.0
556124,4,112448.0,Marketing Executive,Supervisor/Coordinator,3.0,IDR,6000000.0,8000000.0
