scrapedid,webid,companyid,job_title,career_level,year_experience_min,currency,salary_min,salary_max
221,2,223.0,Marketing Executive,Junior Executive,3.0,MYR,1500.0,2000.0
259,2,261.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
261,2,263.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
293,2,295.0,Marketing Executive,Entry Level,1.0,MYR,2800.0,3500.0
323,2,325.0,Marketing Executive,Senior Executive,1.0,MYR,3000.0,4000.0
349,2,351.0,Marketing Executive,Junior Executive,2.0,MYR,3390.0,4700.0
2768,2,2752.0,Marketing Executive,Junior Executive,1.0,MYR,2900.0,4500.0
2793,2,2777.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,3500.0
2914,2,2872.0,Marketing Executive,Senior Executive,3.0,MYR,3000.0,4200.0
2915,2,2873.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
2946,2,2898.0,Marketing Executive,Senior Executive,1.0,MYR,3000.0,4000.0
3139,2,3034.0,Marketing Executive,Senior Executive,1.0,MYR,3500.0,7000.0
3166,2,3061.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,3500.0
3167,2,3062.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
3171,2,3066.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,5000.0
3176,2,3071.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,5000.0
3190,2,236.0,Marketing Executive,Junior Executive,3.0,MYR,3800.0,4200.0
3228,2,3118.0,Marketing Executive,Junior Executive,3.0,MYR,3000.0,4200.0
3290,2,3179.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
3321,2,3209.0,Marketing Executive,Entry Level,2.0,MYR,2500.0,3500.0
3327,2,3214.0,Marketing Executive,Senior Executive,2.0,MYR,2800.0,3000.0
3355,2,3238.0,Marketing Executive,Junior Executive,1.0,MYR,2500.0,3200.0
3482,2,3357.0,Marketing Executive,Senior Executive,2.0,MYR,3000.0,4200.0
3500,2,3375.0,Marketing Executive,Junior Executive,3.0,MYR,3000.0,4000.0
3537,2,3409.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4200.0
3547,2,3419.0,Marketing Executive,Senior Executive,2.0,MYR,2500.0,3500.0
3558,2,3430.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
3597,2,3467.0,Marketing Executive,Junior Executive,2.0,MYR,2800.0,4000.0
3610,2,3480.0,Marketing Executive,Senior Executive,3.0,MYR,4000.0,5000.0
3655,2,3521.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
3708,2,3571.0,Marketing Executive,Junior Executive,1.0,MYR,2000.0,4000.0
3775,2,3636.0,Marketing Executive,Junior Executive,1.0,MYR,2200.0,2800.0
3789,2,3649.0,Marketing Executive,Senior Executive,1.0,MYR,4000.0,6000.0
3918,2,3775.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
3919,2,3776.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
3922,2,3779.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
3929,2,3786.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
3998,2,3851.0,Marketing Executive,Junior Executive,1.0,MYR,2700.0,3500.0
4004,2,3857.0,Marketing Executive,Junior Executive,2.0,MYR,2800.0,4300.0
4061,2,3914.0,Marketing Executive,Junior Executive,2.0,MYR,2300.0,3500.0
4063,2,3916.0,Marketing Executive,Junior Executive,1.0,MYR,2500.0,3500.0
4110,2,3963.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4200.0
4201,2,4051.0,Marketing Executive,Entry Level,2.0,MYR,2800.0,3500.0
4254,2,4101.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
4385,2,4230.0,Marketing Executive,Junior Executive,2.0,MYR,3500.0,3800.0
4409,2,4254.0,Marketing Executive,Senior Executive,2.0,MYR,3000.0,5000.0
4411,2,4256.0,Marketing Executive,Senior Executive,3.0,MYR,3000.0,4000.0
4462,2,4306.0,Marketing Executive,Junior Executive,1.0,MYR,3500.0,5000.0
4528,2,4371.0,Marketing Executive,Junior Executive,2.0,MYR,2800.0,3920.0
4849,2,3602.0,Marketing Executive,Junior Executive,2.0,MYR,2500.0,3500.0
4929,2,332.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
4939,2,4737.0,Marketing Executive,Junior Executive,2.0,MYR,3500.0,4800.0
5077,2,4867.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4200.0
5079,2,4869.0,Marketing Executive,Senior Executive,1.0,MYR,3000.0,4000.0
5518,2,5303.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,3500.0
5652,2,5435.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
6987,2,6740.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,3500.0
7010,2,6763.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
7164,2,6915.0,Marketing Executive,Senior Executive,2.0,MYR,2000.0,2500.0
7583,2,7330.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
19565,2,4093.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4500.0
19583,2,17152.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
19643,2,3372.0,Marketing Executive,Junior Executive,1.0,MYR,3200.0,4000.0
19657,2,17172.0,Marketing Executive,Junior Executive,1.0,MYR,2500.0,4500.0
19853,2,2946.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
20200,2,17282.0,Marketing Executive,Junior Executive,1.0,MYR,2500.0,4500.0
20630,2,4022.0,Marketing Executive,Junior Executive,2.0,MYR,2700.0,4500.0
20964,2,3697.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
21361,2,359.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
22660,2,5086.0,Marketing Executive,Junior Executive,2.0,MYR,2500.0,3500.0
25863,2,8112.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,5000.0
26289,2,5617.0,Marketing Executive,Senior Executive,3.0,MYR,3000.0,4200.0
28374,2,4309.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,3500.0
37095,2,20501.0,Marketing Executive,Junior Executive,2.0,MYR,2800.0,4000.0
37124,2,20513.0,Marketing Executive,Senior Executive,3.0,MYR,3000.0,5000.0
37129,2,3214.0,Marketing Executive,Senior Executive,2.0,MYR,2800.0,3000.0
37768,2,20768.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,6000.0
37777,2,20770.0,Marketing Executive,Junior Executive,3.0,MYR,3000.0,4000.0
37780,2,17974.0,Marketing Executive,Senior Executive,3.0,MYR,4000.0,4300.0
37857,2,20807.0,Marketing Executive,Junior Executive,2.0,MYR,2000.0,4000.0
37974,2,20842.0,Marketing Executive,Senior Executive,3.0,MYR,3000.0,4000.0
38038,2,20863.0,Marketing Executive,Junior Executive,3.0,MYR,3000.0,4000.0
38100,2,20896.0,Marketing Executive,Manager,1.0,MYR,2500.0,4000.0
38361,2,8690.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4500.0
38694,2,21144.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
38914,2,7418.0,Marketing Executive,Entry Level,2.0,MYR,3000.0,4200.0
42777,2,6884.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
42816,2,4236.0,Marketing Executive,Senior Executive,2.0,MYR,3000.0,4000.0
42880,2,3062.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
42923,2,22901.0,Marketing Executive,Senior Executive,2.0,MYR,4000.0,5000.0
42927,2,22903.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,3500.0
42930,2,22904.0,Marketing Executive,Senior Executive,2.0,MYR,4000.0,5600.0
42931,2,2898.0,Marketing Executive,Senior Executive,1.0,MYR,2500.0,3500.0
43087,2,2872.0,Marketing Executive,Senior Executive,3.0,MYR,3000.0,4200.0
44040,2,4039.0,Marketing Executive,Junior Executive,2.0,MYR,2500.0,4500.0
44528,2,6576.0,Marketing Executive,Junior Executive,1.0,MYR,2500.0,4500.0
44553,2,23475.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
44593,2,23485.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
44604,2,23487.0,Marketing Executive,Junior Executive,2.0,MYR,2500.0,3200.0
44697,2,6501.0,Marketing Executive,Senior Executive,2.0,MYR,3000.0,5000.0
44736,2,23529.0,Marketing Executive,Junior Executive,1.0,MYR,2500.0,3200.0
44841,2,23576.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
44863,2,23583.0,Marketing Executive,Junior Executive,1.0,MYR,4000.0,8000.0
44898,2,23604.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
44927,2,5151.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
44944,2,2944.0,Marketing Executive,Senior Executive,2.0,MYR,1600.0,2000.0
44971,2,23639.0,Marketing Executive,Junior Executive,3.0,MYR,2500.0,3500.0
45091,2,3102.0,Marketing Executive,Junior Executive,1.0,MYR,2000.0,3500.0
45229,2,23769.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4200.0
45476,2,23878.0,Marketing Executive,Junior Executive,2.0,MYR,3500.0,7000.0
45798,2,24002.0,Marketing Executive,Senior Executive,5.0,MYR,3500.0,4500.0
46429,2,24272.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,3500.0
46452,2,24283.0,Marketing Executive,Junior Executive,2.0,MYR,2500.0,4000.0
46939,2,24429.0,Marketing Executive,Junior Executive,2.0,MYR,3500.0,7000.0
49812,2,7330.0,Marketing Executive,Entry Level,2.0,MYR,3000.0,4200.0
50202,2,6740.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,3500.0
52098,2,26032.0,Marketing Executive,Junior Executive,2.0,MYR,2500.0,5000.0
52291,2,26120.0,Marketing Executive,Entry Level,2.0,MYR,3000.0,4000.0
56812,2,5151.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
56825,2,4840.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
56915,2,3645.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
56921,2,27664.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
57654,2,5238.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
57656,2,3981.0,Marketing Executive,Junior Executive,1.0,MYR,3200.0,4500.0
57676,2,27846.0,Marketing Executive,Junior Executive,2.0,MYR,2500.0,3500.0
58024,2,3779.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
58026,2,27928.0,Marketing Executive,Junior Executive,1.0,MYR,2000.0,3000.0
58140,2,4306.0,Marketing Executive,Junior Executive,1.0,MYR,3500.0,5000.0
58641,2,28069.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
60230,2,7740.0,Marketing Executive,Entry Level,2.0,MYR,2000.0,3000.0
60630,2,7330.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4200.0
94191,2,23583.0,Marketing Executive,Junior Executive,1.0,MYR,4000.0,8000.0
94193,2,2734.0,Marketing Executive,Junior Executive,3.0,MYR,3000.0,4000.0
94264,2,39926.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
94914,2,40161.0,Marketing Executive,Junior Executive,2.0,MYR,4000.0,5500.0
94963,2,3408.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
95126,2,7487.0,Marketing Executive,Junior Executive,2.0,MYR,2800.0,3500.0
95137,2,26547.0,Marketing Executive,Junior Executive,1.0,MYR,2500.0,4500.0
95282,2,40308.0,Marketing Executive,Senior Executive,2.0,MYR,2800.0,3000.0
95394,2,3786.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
95402,2,26436.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
95406,2,4374.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
95407,2,2872.0,Marketing Executive,Senior Executive,2.0,MYR,2500.0,3500.0
95464,2,40386.0,Marketing Executive,Junior Executive,1.0,MYR,2800.0,3500.0
95495,2,5155.0,Marketing Executive,Senior Executive,1.0,MYR,2500.0,4000.0
95543,2,261.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
95572,2,351.0,Marketing Executive,Junior Executive,2.0,MYR,3390.0,4700.0
95574,2,22903.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,3500.0
95691,2,25252.0,Marketing Executive,Senior Executive,3.0,MYR,2500.0,3500.0
95712,2,40466.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
95937,2,40570.0,Marketing Executive,Junior Executive,1.0,MYR,2500.0,3500.0
95938,2,4282.0,Marketing Executive,Junior Executive,2.0,MYR,2500.0,3200.0
99764,2,359.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
102014,2,43735.0,Marketing Executive,Junior Executive,3.0,MYR,3300.0,3500.0
102385,2,4740.0,Marketing Executive,Senior Executive,2.0,MYR,2500.0,5000.0
102542,2,6005.0,Marketing Executive,Junior Executive,2.0,MYR,2300.0,3500.0
103467,2,44598.0,Marketing Executive,Junior Executive,3.0,MYR,2500.0,3500.0
103472,2,44601.0,Marketing Executive,Entry Level,2.0,MYR,2500.0,3000.0
103629,2,44689.0,Marketing Executive,Senior Executive,2.0,MYR,2500.0,4000.0
103639,2,44696.0,Marketing Executive,Entry Level,2.0,MYR,2800.0,4000.0
104279,2,4309.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,3500.0
104343,2,45133.0,Marketing Executive,Senior Executive,2.0,MYR,3000.0,6000.0
104670,2,45326.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
112226,2,3289.0,Marketing Executive,Junior Executive,3.0,MYR,3000.0,3500.0
112229,2,3044.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
112237,2,40512.0,Marketing Executive,Junior Executive,1.0,MYR,2200.0,2800.0
112247,2,3418.0,Marketing Executive,Junior Executive,1.0,MYR,2500.0,4000.0
112267,2,325.0,Marketing Executive,Senior Executive,1.0,MYR,3000.0,4000.0
112282,2,29106.0,Marketing Executive,Junior Executive,1.0,MYR,2500.0,4800.0
112396,2,2888.0,Marketing Executive,Senior Executive,3.0,MYR,4000.0,6000.0
112401,2,45250.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
112411,2,48532.0,Marketing Executive,Senior Executive,3.0,MYR,2800.0,3600.0
112427,2,3974.0,Marketing Executive,Senior Executive,3.0,MYR,3000.0,4000.0
112435,2,3726.0,Marketing Executive,Senior Executive,3.0,MYR,3000.0,4000.0
112796,2,48604.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4200.0
113012,2,48659.0,Marketing Executive,Senior Executive,3.0,MYR,3000.0,4500.0
113106,2,48688.0,Marketing Executive,Junior Executive,2.0,MYR,2500.0,4000.0
113946,2,2871.0,Marketing Executive,Senior Executive,1.0,MYR,3000.0,4000.0
114225,2,7418.0,Marketing Executive,Entry Level,2.0,MYR,3000.0,4200.0
117483,2,5086.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,3800.0
118912,2,50173.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4500.0
120015,2,5429.0,Marketing Executive,Junior Executive,3.0,MYR,3000.0,5000.0
121274,2,3200.0,Marketing Executive,Junior Executive,1.0,MYR,3000.0,4000.0
121803,2,51083.0,Marketing Executive,Junior Executive,2.0,MYR,3000.0,4000.0
127866,10,53115.0,Marketing Executive,Executive,1.0,MYR,2000.0,3300.0
127899,10,53139.0,Marketing Executive,Executive,0.0,MYR,2000.0,2600.0
128041,10,53219.0,Marketing Executive,Executive,1.0,MYR,2500.0,3500.0
128118,10,53250.0,Marketing Executive,Executive,1.0,MYR,1200.0,1500.0
128662,10,53513.0,Marketing Executive,Executive,1.0,MYR,1500.0,2500.0
128994,10,53669.0,Marketing Executive,Executive,0.0,MYR,1800.0,2300.0
129041,10,53691.0,Marketing Executive,Executive,1.0,MYR,2500.0,3800.0
130030,10,54087.0,Marketing Executive,Executive,1.0,MYR,2200.0,3000.0
130077,10,54114.0,Marketing Executive,Executive,1.0,MYR,1500.0,1800.0
136481,2,3238.0,Marketing Executive,Junior Executive,1.0,MYR,2800.0,3500.0
