scrapedid,webid,companyid,job_title,career_level,year_experience_min,currency,salary_min,salary_max
991,1,993.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
1155,1,1157.0,Marketing Executive,Entry Level,2.0,SGD,2800.0,3500.0
1264,1,1266.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
1271,1,1273.0,Marketing Executive,Senior Executive,2.0,SGD,2800.0,3500.0
1274,1,1276.0,Marketing Executive,Entry Level,2.0,SGD,2400.0,2800.0
1285,1,1287.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
1286,1,1288.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
1290,1,1292.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
1309,1,1311.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
1316,1,1318.0,Marketing Executive,Junior Executive,3.0,SGD,2800.0,3500.0
1329,1,1331.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
1330,1,1332.0,Marketing Executive,Junior Executive,2.0,SGD,2900.0,3300.0
1351,1,1353.0,Marketing Executive,Senior Executive,2.0,SGD,3000.0,3300.0
1364,1,1366.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
1366,1,1368.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
1402,1,1404.0,Marketing Executive,Junior Executive,1.0,SGD,2500.0,3200.0
1403,1,1405.0,Marketing Executive,Junior Executive,1.0,SGD,2700.0,3500.0
1869,1,1871.0,Marketing Executive,Entry Level,2.0,SGD,2800.0,3500.0
1871,1,1873.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3300.0
1878,1,1880.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
1880,1,1882.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
1882,1,1884.0,Marketing Executive,Entry Level,2.0,SGD,2800.0,3500.0
1918,1,1920.0,Marketing Executive,Junior Executive,2.0,SGD,2500.0,4000.0
1921,1,1923.0,Marketing Executive,Junior Executive,1.0,SGD,2400.0,3000.0
1965,1,1967.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
1975,1,1977.0,Marketing Executive,Senior Executive,2.0,SGD,2800.0,3500.0
2029,1,2031.0,Marketing Executive,Senior Executive,5.0,SGD,3000.0,3800.0
2052,1,2054.0,Marketing Executive,Junior Executive,1.0,SGD,2400.0,3800.0
2056,1,2058.0,Marketing Executive,Entry Level,2.0,SGD,2300.0,3300.0
2130,1,2132.0,Marketing Executive,Junior Executive,2.0,SGD,3000.0,3500.0
2156,1,2158.0,Marketing Executive,Entry Level,3.0,SGD,3000.0,3500.0
2582,1,2584.0,Marketing Executive,Senior Executive,2.0,SGD,2800.0,3500.0
11060,1,130.0,Marketing Executive,Entry Level,2.0,SGD,2800.0,3500.0
11102,1,1337.0,Marketing Executive,Junior Executive,2.0,SGD,3000.0,4000.0
12466,1,1013.0,Marketing Executive,Entry Level,2.0,SGD,2800.0,3500.0
